Transaction_ID,Date,Customer_ID,Gender,Age,Age_Group,Product_Category,Product_Name,Quantity,Price_Per_Unit,Total_Amount,Discount_Rate,Discount_Amount,Net_Amount,Cost_Of_Goods,Profit,Profit_Margin_Pct,Payment_Method
TXN-10567,2023-01-07,CUST-1091,Female,51,51+ (Seniors),Beauty & Personal Care,Organic Botanical Shampoo,1,22.91,22.91,0.2,4.58,18.33,12.84,5.49,29.95,Credit Card
TXN-10727,2023-01-08,CUST-1207,Female,45,36-50 (Middle-Aged),Home & Kitchen,Espresso Coffee Machine,1,161.73,161.73,0.2,32.35,129.38,90.11,39.27,30.35,UPI / Digital Wallet
TXN-12428,2023-01-08,CUST-1471,Female,18,18-24 (Youth),Electronics,Noise-Cancelling Headphones,3,187.53,562.59,0.05,28.13,534.46,320.8,213.66,39.98,UPI / Digital Wallet
TXN-10427,2023-01-09,CUST-1270,Female,58,51+ (Seniors),Electronics,4K Ultra HD Smart TV,2,651.18,1302.36,0.15,195.35,1107.01,853.89,253.12,22.87,Cash
TXN-11312,2023-01-09,CUST-1141,Male,56,51+ (Seniors),Beauty & Personal Care,Ionic Ceramic Hair Dryer,1,56.67,56.67,0.0,0.0,56.67,33.54,23.13,40.82,UPI / Digital Wallet
TXN-12245,2023-01-10,CUST-1146,Male,20,18-24 (Youth),Books & Stationery,Artisan Sketching Pencil Kit,1,19.34,19.34,0.05,0.97,18.37,11.55,6.82,37.13,UPI / Digital Wallet
TXN-10960,2023-01-10,CUST-1185,Male,47,36-50 (Middle-Aged),Books & Stationery,Data Science & ML Handbook,1,46.29,46.29,0.2,9.26,37.03,31.04,5.99,16.18,Credit Card
TXN-10410,2023-01-10,CUST-1582,Female,46,36-50 (Middle-Aged),Beauty & Personal Care,Organic Botanical Shampoo,1,24.12,24.12,0.05,1.21,22.91,16.77,6.14,26.8,Debit Card
TXN-11681,2023-01-11,CUST-1523,Male,45,36-50 (Middle-Aged),Home & Kitchen,Stainless Steel Water Bottle,1,19.91,19.91,0.1,1.99,17.92,11.09,6.83,38.11,UPI / Digital Wallet
TXN-10800,2023-01-12,CUST-1400,Male,18,18-24 (Youth),Clothing,Classic Cotton Crewneck T-Shirt,1,22.14,22.14,0.0,0.0,22.14,14.61,7.53,34.01,UPI / Digital Wallet
TXN-12167,2023-01-12,CUST-1082,Male,58,51+ (Seniors),Electronics,Wireless Bluetooth Earbuds,1,78.61,78.61,0.0,0.0,78.61,44.25,34.36,43.71,Credit Card
TXN-11246,2023-01-12,CUST-1066,Female,36,36-50 (Middle-Aged),Beauty & Personal Care,Daily Hydrating Facial Cleanser,2,17.45,34.9,0.05,1.74,33.16,23.34,9.82,29.61,Credit Card
TXN-12485,2023-01-13,CUST-1569,Female,33,25-35 (Young Adults),Home & Kitchen,Ergonomic Memory Foam Pillow,2,34.15,68.3,0.1,6.83,61.47,44.6,16.87,27.44,Debit Card
TXN-10973,2023-01-13,CUST-1002,Male,47,36-50 (Middle-Aged),Clothing,Classic Cotton Crewneck T-Shirt,1,21.81,21.81,0.0,0.0,21.81,12.89,8.92,40.9,Credit Card
TXN-10359,2023-01-14,CUST-1373,Male,51,51+ (Seniors),Home & Kitchen,Air Fryer Digital Oven,2,111.44,222.88,0.1,22.29,200.59,123.14,77.45,38.61,Credit Card
TXN-12413,2023-01-14,CUST-1154,Female,42,36-50 (Middle-Aged),Clothing,Winter Hooded Parka,1,140.6,140.6,0.05,7.03,133.57,92.15,41.42,31.01,UPI / Digital Wallet
TXN-11010,2023-01-14,CUST-1484,Female,27,25-35 (Young Adults),Electronics,Smart Fitness Watch,3,116.16,348.48,0.1,34.85,313.63,240.45,73.18,23.33,Credit Card
TXN-11431,2023-01-15,CUST-1211,Female,53,51+ (Seniors),Home & Kitchen,Ergonomic Memory Foam Pillow,1,34.49,34.49,0.05,1.72,32.77,22.46,10.31,31.46,Cash
TXN-12249,2023-01-15,CUST-1003,Male,59,51+ (Seniors),Beauty & Personal Care,Anti-Aging Retinol Night Serum,4,44.17,176.68,0.1,17.67,159.01,107.59,51.42,32.34,UPI / Digital Wallet
TXN-11404,2023-01-15,CUST-1027,Male,43,36-50 (Middle-Aged),Clothing,Slim-Fit Denim Jeans,1,46.88,46.88,0.1,4.69,42.19,31.99,10.2,24.18,Credit Card
TXN-11162,2023-01-16,CUST-1105,Male,43,36-50 (Middle-Aged),Electronics,4K Ultra HD Smart TV,2,668.17,1336.34,0.05,66.82,1269.52,806.38,463.14,36.48,Cash
TXN-11573,2023-01-16,CUST-1194,Male,40,36-50 (Middle-Aged),Home & Kitchen,Espresso Coffee Machine,2,163.43,326.86,0.05,16.34,310.52,223.54,86.98,28.01,Debit Card
TXN-11532,2023-01-18,CUST-1183,Male,44,36-50 (Middle-Aged),Electronics,4K Ultra HD Smart TV,1,651.57,651.57,0.05,32.58,618.99,444.89,174.1,28.13,Credit Card
TXN-10753,2023-01-18,CUST-1043,Female,33,25-35 (Young Adults),Beauty & Personal Care,Daily Hydrating Facial Cleanser,1,17.5,17.5,0.0,0.0,17.5,10.76,6.74,38.51,Credit Card
TXN-10527,2023-01-18,CUST-1116,Male,37,36-50 (Middle-Aged),Home & Kitchen,Stainless Steel Water Bottle,1,20.99,20.99,0.05,1.05,19.94,13.33,6.61,33.15,UPI / Digital Wallet
TXN-12268,2023-01-18,CUST-1565,Female,32,25-35 (Young Adults),Clothing,Casual Breathable Sneakers,1,68.45,68.45,0.15,10.27,58.18,41.26,16.92,29.08,Debit Card
TXN-10725,2023-01-19,CUST-1183,Male,44,36-50 (Middle-Aged),Electronics,Noise-Cancelling Headphones,1,176.36,176.36,0.0,0.0,176.36,121.67,54.69,31.01,Debit Card
TXN-12217,2023-01-19,CUST-1364,Male,47,36-50 (Middle-Aged),Clothing,Casual Breathable Sneakers,2,71.81,143.62,0.1,14.36,129.26,83.7,45.56,35.25,Debit Card
TXN-12432,2023-01-19,CUST-1344,Male,31,25-35 (Young Adults),Clothing,Slim-Fit Denim Jeans,2,45.98,91.96,0.0,0.0,91.96,59.09,32.87,35.74,Debit Card
TXN-12005,2023-01-19,CUST-1174,Male,41,36-50 (Middle-Aged),Beauty & Personal Care,Anti-Aging Retinol Night Serum,2,45.09,90.18,0.0,0.0,90.18,52.59,37.59,41.68,Debit Card
TXN-11357,2023-01-19,CUST-1259,Male,48,36-50 (Middle-Aged),Books & Stationery,Fine Fountain Pen Set,5,36.26,181.3,0.0,0.0,181.3,125.49,55.81,30.78,Credit Card
TXN-11282,2023-01-19,CUST-1030,Male,29,25-35 (Young Adults),Books & Stationery,Artisan Sketching Pencil Kit,4,19.66,78.64,0.15,11.8,66.84,44.04,22.8,34.11,Debit Card
TXN-10465,2023-01-19,CUST-1528,Male,41,36-50 (Middle-Aged),Electronics,Noise-Cancelling Headphones,1,176.18,176.18,0.05,8.81,167.37,107.62,59.75,35.7,Credit Card
TXN-11080,2023-01-19,CUST-1346,Male,18,18-24 (Youth),Books & Stationery,Artisan Sketching Pencil Kit,1,18.79,18.79,0.2,3.76,15.03,12.8,2.23,14.84,Credit Card
TXN-12479,2023-01-20,CUST-1203,Male,52,51+ (Seniors),Clothing,Formal Oxford Shirt,2,43.88,87.76,0.0,0.0,87.76,49.8,37.96,43.25,Cash
TXN-10540,2023-01-20,CUST-1254,Female,18,18-24 (Youth),Beauty & Personal Care,Organic Botanical Shampoo,1,24.44,24.44,0.1,2.44,22.0,15.22,6.78,30.82,Credit Card
TXN-10655,2023-01-20,CUST-1032,Female,37,36-50 (Middle-Aged),Books & Stationery,Executive Hardcover Notebook,1,15.51,15.51,0.05,0.78,14.73,9.63,5.1,34.62,Credit Card
TXN-12091,2023-01-20,CUST-1592,Female,44,36-50 (Middle-Aged),Electronics,Noise-Cancelling Headphones,1,172.79,172.79,0.0,0.0,172.79,120.26,52.53,30.4,Credit Card
TXN-11844,2023-01-21,CUST-1548,Other,43,36-50 (Middle-Aged),Beauty & Personal Care,Ionic Ceramic Hair Dryer,1,55.75,55.75,0.2,11.15,44.6,31.88,12.72,28.52,Credit Card
TXN-10820,2023-01-22,CUST-1171,Male,26,25-35 (Young Adults),Home & Kitchen,Stainless Steel Water Bottle,1,20.19,20.19,0.1,2.02,18.17,11.38,6.79,37.37,Cash
TXN-12273,2023-01-22,CUST-1158,Female,21,18-24 (Youth),Home & Kitchen,Non-Stick Ceramic Cookware Set,1,93.81,93.81,0.1,9.38,84.43,63.04,21.39,25.33,Credit Card
TXN-12205,2023-01-22,CUST-1501,Other,64,51+ (Seniors),Home & Kitchen,Ergonomic Memory Foam Pillow,1,34.6,34.6,0.15,5.19,29.41,23.48,5.93,20.16,Credit Card
TXN-10743,2023-01-22,CUST-1449,Male,23,18-24 (Youth),Electronics,Wireless Bluetooth Earbuds,1,76.56,76.56,0.15,11.48,65.08,44.17,20.91,32.13,Cash
TXN-11666,2023-01-23,CUST-1502,Female,18,18-24 (Youth),Clothing,Casual Breathable Sneakers,1,72.78,72.78,0.0,0.0,72.78,50.28,22.5,30.92,UPI / Digital Wallet
TXN-11136,2023-01-23,CUST-1103,Female,26,25-35 (Young Adults),Home & Kitchen,Air Fryer Digital Oven,1,112.58,112.58,0.0,0.0,112.58,70.98,41.6,36.95,Cash
TXN-11073,2023-01-23,CUST-1338,Male,43,36-50 (Middle-Aged),Electronics,Smart Fitness Watch,1,119.62,119.62,0.1,11.96,107.66,67.1,40.56,37.67,Credit Card
TXN-11958,2023-01-23,CUST-1280,Male,39,36-50 (Middle-Aged),Electronics,Portable Bluetooth Speaker,2,54.82,109.64,0.05,5.48,104.16,67.41,36.75,35.28,Credit Card
TXN-10611,2023-01-23,CUST-1154,Female,42,36-50 (Middle-Aged),Beauty & Personal Care,Shea Butter Moisturizing Cream,2,15.29,30.58,0.05,1.53,29.05,19.86,9.19,31.64,Debit Card
TXN-10659,2023-01-23,CUST-1278,Other,38,36-50 (Middle-Aged),Electronics,4K Ultra HD Smart TV,1,676.17,676.17,0.15,101.43,574.74,395.04,179.7,31.27,UPI / Digital Wallet
TXN-10564,2023-01-24,CUST-1320,Female,39,36-50 (Middle-Aged),Books & Stationery,Minimalist Wooden Desk Organizer,1,27.19,27.19,0.1,2.72,24.47,16.6,7.87,32.16,Cash
TXN-10942,2023-01-25,CUST-1315,Male,38,36-50 (Middle-Aged),Clothing,Casual Breathable Sneakers,1,70.41,70.41,0.0,0.0,70.41,48.49,21.92,31.13,Credit Card
TXN-11030,2023-01-25,CUST-1449,Male,23,18-24 (Youth),Electronics,4K Ultra HD Smart TV,1,650.85,650.85,0.0,0.0,650.85,364.3,286.55,44.03,UPI / Digital Wallet
TXN-10837,2023-01-25,CUST-1554,Male,42,36-50 (Middle-Aged),Beauty & Personal Care,Anti-Aging Retinol Night Serum,1,43.43,43.43,0.0,0.0,43.43,30.11,13.32,30.67,UPI / Digital Wallet
TXN-11085,2023-01-26,CUST-1380,Female,26,25-35 (Young Adults),Home & Kitchen,Non-Stick Ceramic Cookware Set,2,97.04,194.08,0.05,9.7,184.38,127.48,56.9,30.86,Debit Card
TXN-10621,2023-01-26,CUST-1370,Male,38,36-50 (Middle-Aged),Clothing,Formal Oxford Shirt,1,43.3,43.3,0.05,2.16,41.14,28.66,12.48,30.34,Credit Card
TXN-12449,2023-01-26,CUST-1588,Male,49,36-50 (Middle-Aged),Clothing,Casual Breathable Sneakers,3,68.28,204.84,0.1,20.48,184.36,135.31,49.05,26.61,Credit Card
TXN-12484,2023-01-26,CUST-1583,Male,69,51+ (Seniors),Home & Kitchen,Stainless Steel Water Bottle,5,19.65,98.25,0.0,0.0,98.25,58.55,39.7,40.41,Credit Card
TXN-10407,2023-01-27,CUST-1096,Male,42,36-50 (Middle-Aged),Electronics,Portable Bluetooth Speaker,1,56.94,56.94,0.1,5.69,51.25,35.62,15.63,30.5,UPI / Digital Wallet
TXN-11344,2023-01-28,CUST-1385,Female,40,36-50 (Middle-Aged),Electronics,Noise-Cancelling Headphones,2,172.44,344.88,0.0,0.0,344.88,194.85,150.03,43.5,Debit Card
TXN-11478,2023-01-29,CUST-1505,Male,31,25-35 (Young Adults),Home & Kitchen,Espresso Coffee Machine,1,164.84,164.84,0.2,32.97,131.87,93.39,38.48,29.18,Debit Card
TXN-11206,2023-01-29,CUST-1542,Female,45,36-50 (Middle-Aged),Electronics,Wireless Bluetooth Earbuds,2,78.53,157.06,0.05,7.85,149.21,109.58,39.63,26.56,Debit Card
TXN-12395,2023-01-29,CUST-1201,Female,45,36-50 (Middle-Aged),Clothing,Winter Hooded Parka,2,135.31,270.62,0.1,27.06,243.56,158.82,84.74,34.79,Credit Card
TXN-10807,2023-01-29,CUST-1092,Male,28,25-35 (Young Adults),Clothing,Classic Cotton Crewneck T-Shirt,1,22.02,22.02,0.05,1.1,20.92,12.2,8.72,41.68,Credit Card
TXN-10732,2023-01-29,CUST-1038,Male,19,18-24 (Youth),Home & Kitchen,Stainless Steel Water Bottle,1,20.21,20.21,0.2,4.04,16.17,13.14,3.03,18.74,Credit Card
TXN-12357,2023-01-30,CUST-1596,Male,34,25-35 (Young Adults),Clothing,Slim-Fit Denim Jeans,1,47.1,47.1,0.15,7.06,40.04,25.92,14.12,35.26,UPI / Digital Wallet
TXN-10300,2023-01-30,CUST-1280,Male,39,36-50 (Middle-Aged),Electronics,Portable Bluetooth Speaker,1,55.36,55.36,0.1,5.54,49.82,36.46,13.36,26.82,UPI / Digital Wallet
TXN-11071,2023-01-30,CUST-1037,Male,18,18-24 (Youth),Home & Kitchen,Non-Stick Ceramic Cookware Set,2,90.76,181.52,0.05,9.08,172.44,108.84,63.6,36.88,Credit Card
TXN-11340,2023-01-30,CUST-1096,Male,42,36-50 (Middle-Aged),Beauty & Personal Care,Organic Botanical Shampoo,1,23.1,23.1,0.0,0.0,23.1,14.66,8.44,36.54,Credit Card
TXN-11166,2023-01-30,CUST-1008,Female,31,25-35 (Young Adults),Electronics,Portable Bluetooth Speaker,1,54.41,54.41,0.0,0.0,54.41,34.8,19.61,36.04,UPI / Digital Wallet
TXN-11360,2023-01-31,CUST-1329,Female,46,36-50 (Middle-Aged),Home & Kitchen,Ergonomic Memory Foam Pillow,1,35.17,35.17,0.0,0.0,35.17,20.4,14.77,42.0,Credit Card
TXN-12241,2023-01-31,CUST-1054,Female,52,51+ (Seniors),Books & Stationery,Minimalist Wooden Desk Organizer,1,27.99,27.99,0.05,1.4,26.59,17.16,9.43,35.46,Credit Card
TXN-11526,2023-02-01,CUST-1176,Female,38,36-50 (Middle-Aged),Electronics,Wireless Bluetooth Earbuds,1,78.53,78.53,0.05,3.93,74.6,45.49,29.11,39.02,Credit Card
TXN-12200,2023-02-01,CUST-1424,Male,47,36-50 (Middle-Aged),Home & Kitchen,Stainless Steel Water Bottle,1,20.42,20.42,0.0,0.0,20.42,13.09,7.33,35.9,Debit Card
TXN-12123,2023-02-01,CUST-1499,Female,18,18-24 (Youth),Clothing,Formal Oxford Shirt,2,42.61,85.22,0.0,0.0,85.22,47.76,37.46,43.96,Credit Card
TXN-11178,2023-02-01,CUST-1086,Male,50,36-50 (Middle-Aged),Electronics,Portable Bluetooth Speaker,2,54.62,109.24,0.05,5.46,103.78,63.86,39.92,38.47,Debit Card
TXN-11558,2023-02-01,CUST-1097,Female,41,36-50 (Middle-Aged),Beauty & Personal Care,Shea Butter Moisturizing Cream,1,16.18,16.18,0.05,0.81,15.37,9.51,5.86,38.13,UPI / Digital Wallet
TXN-11824,2023-02-01,CUST-1338,Male,43,36-50 (Middle-Aged),Books & Stationery,Data Science & ML Handbook,2,49.45,98.9,0.2,19.78,79.12,56.85,22.27,28.15,Debit Card
TXN-12046,2023-02-01,CUST-1262,Female,18,18-24 (Youth),Clothing,Formal Oxford Shirt,3,41.3,123.9,0.1,12.39,111.51,74.65,36.86,33.06,UPI / Digital Wallet
TXN-12334,2023-02-01,CUST-1326,Male,54,51+ (Seniors),Books & Stationery,Fine Fountain Pen Set,2,39.16,78.32,0.1,7.83,70.49,52.08,18.41,26.12,Credit Card
TXN-11113,2023-02-02,CUST-1360,Male,45,36-50 (Middle-Aged),Electronics,Noise-Cancelling Headphones,1,173.3,173.3,0.05,8.67,164.63,110.62,54.01,32.81,UPI / Digital Wallet
TXN-11362,2023-02-02,CUST-1259,Male,48,36-50 (Middle-Aged),Clothing,Casual Breathable Sneakers,1,73.33,73.33,0.0,0.0,73.33,50.36,22.97,31.32,Credit Card
TXN-10751,2023-02-02,CUST-1259,Male,48,36-50 (Middle-Aged),Home & Kitchen,Espresso Coffee Machine,1,163.63,163.63,0.2,32.73,130.9,94.03,36.87,28.17,Credit Card
TXN-11487,2023-02-02,CUST-1298,Other,49,36-50 (Middle-Aged),Electronics,Wireless Bluetooth Earbuds,1,76.1,76.1,0.1,7.61,68.49,50.18,18.31,26.73,UPI / Digital Wallet
TXN-11719,2023-02-02,CUST-1068,Female,43,36-50 (Middle-Aged),Beauty & Personal Care,Shea Butter Moisturizing Cream,1,15.43,15.43,0.1,1.54,13.89,9.9,3.99,28.73,Cash
TXN-12022,2023-02-03,CUST-1287,Female,46,36-50 (Middle-Aged),Clothing,Slim-Fit Denim Jeans,1,49.26,49.26,0.1,4.93,44.33,30.34,13.99,31.56,UPI / Digital Wallet
TXN-11836,2023-02-03,CUST-1339,Male,30,25-35 (Young Adults),Electronics,4K Ultra HD Smart TV,2,671.89,1343.78,0.05,67.19,1276.59,904.62,371.97,29.14,Debit Card
TXN-11788,2023-02-03,CUST-1129,Male,30,25-35 (Young Adults),Beauty & Personal Care,Organic Botanical Shampoo,1,24.21,24.21,0.2,4.84,19.37,16.03,3.34,17.24,Debit Card
TXN-10006,2023-02-04,CUST-1197,Female,40,36-50 (Middle-Aged),Electronics,Wireless Bluetooth Earbuds,1,73.62,73.62,0.0,0.0,73.62,42.13,31.49,42.77,Cash
TXN-12189,2023-02-04,CUST-1174,Male,41,36-50 (Middle-Aged),Electronics,Wireless Bluetooth Earbuds,1,78.35,78.35,0.15,11.75,66.6,43.72,22.88,34.35,Credit Card
TXN-10351,2023-02-04,CUST-1517,Male,24,18-24 (Youth),Clothing,Formal Oxford Shirt,3,43.9,131.7,0.0,0.0,131.7,76.27,55.43,42.09,Debit Card
TXN-12256,2023-02-04,CUST-1036,Female,40,36-50 (Middle-Aged),Electronics,Noise-Cancelling Headphones,1,175.48,175.48,0.1,17.55,157.93,110.68,47.25,29.92,Credit Card
TXN-12018,2023-02-05,CUST-1089,Male,45,36-50 (Middle-Aged),Clothing,Classic Cotton Crewneck T-Shirt,3,22.77,68.31,0.05,3.42,64.89,41.48,23.41,36.08,UPI / Digital Wallet
TXN-10021,2023-02-05,CUST-1083,Female,30,25-35 (Young Adults),Clothing,Slim-Fit Denim Jeans,1,47.39,47.39,0.0,0.0,47.39,26.08,21.31,44.97,Debit Card
TXN-11058,2023-02-05,CUST-1556,Female,31,25-35 (Young Adults),Home & Kitchen,Non-Stick Ceramic Cookware Set,2,91.74,183.48,0.05,9.17,174.31,108.48,65.83,37.77,Debit Card
TXN-11600,2023-02-05,CUST-1033,Female,23,18-24 (Youth),Clothing,Slim-Fit Denim Jeans,2,47.49,94.98,0.05,4.75,90.23,57.71,32.52,36.04,Credit Card
TXN-11747,2023-02-05,CUST-1409,Male,45,36-50 (Middle-Aged),Books & Stationery,Minimalist Wooden Desk Organizer,5,27.41,137.05,0.05,6.85,130.2,91.49,38.71,29.73,Debit Card
TXN-10724,2023-02-06,CUST-1582,Female,46,36-50 (Middle-Aged),Home & Kitchen,Stainless Steel Water Bottle,3,20.79,62.37,0.0,0.0,62.37,41.98,20.39,32.69,Credit Card
TXN-11696,2023-02-06,CUST-1102,Female,33,25-35 (Young Adults),Home & Kitchen,Stainless Steel Water Bottle,2,20.48,40.96,0.05,2.05,38.91,23.29,15.62,40.14,Debit Card
TXN-11917,2023-02-06,CUST-1392,Female,19,18-24 (Youth),Clothing,Classic Cotton Crewneck T-Shirt,5,21.31,106.55,0.1,10.66,95.89,71.93,23.96,24.99,Credit Card
TXN-12158,2023-02-06,CUST-1146,Male,20,18-24 (Youth),Electronics,Wireless Bluetooth Earbuds,2,74.24,148.48,0.1,14.85,133.63,89.45,44.18,33.06,Debit Card
TXN-10576,2023-02-07,CUST-1135,Female,59,51+ (Seniors),Clothing,Winter Hooded Parka,1,128.43,128.43,0.1,12.84,115.59,86.98,28.61,24.75,UPI / Digital Wallet
TXN-11168,2023-02-07,CUST-1160,Female,24,18-24 (Youth),Home & Kitchen,Air Fryer Digital Oven,4,108.34,433.36,0.2,86.67,346.69,254.07,92.62,26.72,UPI / Digital Wallet
TXN-12406,2023-02-08,CUST-1108,Male,41,36-50 (Middle-Aged),Books & Stationery,Executive Hardcover Notebook,2,15.44,30.88,0.0,0.0,30.88,17.82,13.06,42.29,Cash
TXN-11177,2023-02-08,CUST-1578,Female,18,18-24 (Youth),Home & Kitchen,Espresso Coffee Machine,1,166.34,166.34,0.0,0.0,166.34,112.99,53.35,32.07,Credit Card
TXN-11003,2023-02-08,CUST-1239,Male,49,36-50 (Middle-Aged),Home & Kitchen,Air Fryer Digital Oven,1,106.69,106.69,0.15,16.0,90.69,59.94,30.75,33.91,Credit Card
TXN-11983,2023-02-08,CUST-1129,Male,30,25-35 (Young Adults),Clothing,Formal Oxford Shirt,1,42.47,42.47,0.15,6.37,36.1,28.25,7.85,21.75,Debit Card
TXN-11839,2023-02-09,CUST-1328,Other,46,36-50 (Middle-Aged),Electronics,Noise-Cancelling Headphones,1,182.36,182.36,0.0,0.0,182.36,104.04,78.32,42.95,Credit Card
TXN-10233,2023-02-09,CUST-1236,Male,18,18-24 (Youth),Electronics,Smart Fitness Watch,2,122.69,245.38,0.05,12.27,233.11,156.48,76.63,32.87,Credit Card
TXN-10206,2023-02-10,CUST-1169,Female,27,25-35 (Young Adults),Home & Kitchen,Stainless Steel Water Bottle,1,19.18,19.18,0.15,2.88,16.3,12.67,3.63,22.27,Credit Card
TXN-12032,2023-02-10,CUST-1469,Male,29,25-35 (Young Adults),Home & Kitchen,Stainless Steel Water Bottle,1,19.48,19.48,0.0,0.0,19.48,13.3,6.18,31.72,UPI / Digital Wallet
TXN-12280,2023-02-11,CUST-1467,Male,48,36-50 (Middle-Aged),Clothing,Slim-Fit Denim Jeans,4,47.67,190.68,0.0,0.0,190.68,126.63,64.05,33.59,Cash
TXN-12065,2023-02-11,CUST-1402,Male,38,36-50 (Middle-Aged),Electronics,Smart Fitness Watch,1,120.06,120.06,0.0,0.0,120.06,73.38,46.68,38.88,Credit Card
TXN-11594,2023-02-11,CUST-1009,Male,45,36-50 (Middle-Aged),Clothing,Slim-Fit Denim Jeans,2,47.55,95.1,0.1,9.51,85.59,62.05,23.54,27.5,UPI / Digital Wallet
TXN-10457,2023-02-11,CUST-1296,Female,50,36-50 (Middle-Aged),Electronics,Portable Bluetooth Speaker,1,54.73,54.73,0.05,2.74,51.99,35.89,16.1,30.97,Debit Card
TXN-10330,2023-02-12,CUST-1210,Male,45,36-50 (Middle-Aged),Electronics,Noise-Cancelling Headphones,1,180.42,180.42,0.0,0.0,180.42,106.75,73.67,40.83,UPI / Digital Wallet
TXN-12010,2023-02-12,CUST-1208,Male,45,36-50 (Middle-Aged),Beauty & Personal Care,Organic Botanical Shampoo,1,24.22,24.22,0.0,0.0,24.22,15.14,9.08,37.49,Debit Card
TXN-10190,2023-02-12,CUST-1418,Female,54,51+ (Seniors),Electronics,Noise-Cancelling Headphones,3,182.09,546.27,0.0,0.0,546.27,346.25,200.02,36.62,Debit Card
TXN-11324,2023-02-12,CUST-1049,Male,18,18-24 (Youth),Clothing,Winter Hooded Parka,1,134.42,134.42,0.0,0.0,134.42,77.31,57.11,42.49,UPI / Digital Wallet
TXN-11378,2023-02-13,CUST-1549,Female,29,25-35 (Young Adults),Clothing,Slim-Fit Denim Jeans,1,46.14,46.14,0.05,2.31,43.83,31.25,12.58,28.7,Credit Card
TXN-10085,2023-02-13,CUST-1096,Male,42,36-50 (Middle-Aged),Clothing,Winter Hooded Parka,2,129.67,259.34,0.15,38.9,220.44,157.44,63.0,28.58,UPI / Digital Wallet
TXN-11896,2023-02-13,CUST-1396,Male,18,18-24 (Youth),Clothing,Formal Oxford Shirt,2,43.19,86.38,0.0,0.0,86.38,49.02,37.36,43.25,UPI / Digital Wallet
TXN-12178,2023-02-14,CUST-1268,Male,31,25-35 (Young Adults),Electronics,Wireless Bluetooth Earbuds,2,74.87,149.74,0.2,29.95,119.79,84.97,34.82,29.07,UPI / Digital Wallet
TXN-11428,2023-02-14,CUST-1267,Male,18,18-24 (Youth),Clothing,Casual Breathable Sneakers,5,72.29,361.45,0.05,18.07,343.38,212.48,130.9,38.12,Credit Card
TXN-10370,2023-02-14,CUST-1020,Male,58,51+ (Seniors),Clothing,Slim-Fit Denim Jeans,1,45.99,45.99,0.0,0.0,45.99,28.87,17.12,37.23,Credit Card
TXN-10204,2023-02-15,CUST-1261,Male,37,36-50 (Middle-Aged),Books & Stationery,Executive Hardcover Notebook,2,15.0,30.0,0.0,0.0,30.0,20.51,9.49,31.63,Credit Card
TXN-11076,2023-02-15,CUST-1235,Other,46,36-50 (Middle-Aged),Electronics,Smart Fitness Watch,1,116.2,116.2,0.15,17.43,98.77,64.08,34.69,35.12,UPI / Digital Wallet
